Model,evttime,nnegative,numrets,car_m,ret_m,abret_m,cret_me,car_me,bhar_me,abret_t,abret_Probt,bhar_t,bhar_Probt,car_te,car_te_probt,car_t,car_Probt,pat_ar,pat_ar_probz,patcar_me,patcar_me_probz,sar_t,sar_Probt,scar_te,scar_te_probt,gen_sign_stat,gen_sign_probz,sign_stat,sign_probm,wlcx_rank_stat,wlcx_rank_probs,corrado_rank_stat,corrado_rank_probz
Market-Adjusted Model,-10,3814,9226,-0.001448866,-0.009438866,-0.001448866,0.0258256811,-0.014165136,-0.014347471,-4.302821219,0.0000170377,-4.302821219,0.0000170377,-8.232814226,2.077415E-16,-4.302821219,0.0000170377,7.514095819,1,1.1300903101,0.9494672749,8.5409392551,1.542794E-17,0.9513165826,0.3414686175,14.932468059,0,800,1.523374E-62,1523321,2.4999259E-9,0.2986028946,0.3826215283
Market-Adjusted Model,-9,3693,9226,-0.000174707,-0.005615841,0.0012741588,0.0258256811,-0.014165136,-0.014347471,3.7692622395,0.0001647521,-0.266571808,0.7898048235,-8.232814226,2.077415E-16,-0.358240223,0.7201717468,13.41892358,1,1.1300903101,0.9999975375,14.523168923,2.86672E-47,0.9513165826,0.3414686175,17.386331373,0,921,1.953885E-82,3316425,8.714901E-39,0.4354613866,0.3316137805
Market-Adjusted Model,-8,3931,9224,0.0015790669,-0.000929969,0.0017600307,0.0258283552,-0.014174426,-0.014356723,4.3298738137,0.0000150772,2.4845782707,0.0129881066,-8.236492468,2.015068E-16,2.5360973026,0.0112259205,2.8208586586,0.997605235,1.1226726663,0.9999998869,3.0199941167,0.0025347168,0.9449842931,0.3446916524,12.51916447,0,682,6.963469E-46,2055165.5,8.154855E-16,0.049109398,0.480416057
Market-Adjusted Model,-7,6374,9222,-0.008787855,0.0137489312,-0.010361069,0.0258319353,-0.014183525,-0.014365649,-30.38952874,2.08194E-193,-12.94519152,5.355776E-38,-8.240050254,1.95652E-16,-12.77175072,4.852899E-37,-42.7743849,0,1.1187478158,0.0000158328,-41.90998527,0,0.9415809515,0.346431895,-37.06509836,5.12953E-301,-1762.5,2.08324E-302,-10390631.5,0,-1.511495688,0.0653311032
Market-Adjusted Model,-6,3043,9220,-0.002373653,-0.018072382,0.0064176185,0.0258350043,-0.014188112,-0.014369953,18.879806438,4.903064E-78,-2.529134234,0.0114509627,-8.240946155,1.942084E-16,-2.999912407,0.0027077907,39.457734523,1,1.1181322824,0.9999956673,39.757040319,0,0.9409611313,0.3467494355,30.446562563,0,1567.5,2.30448E-238,7638410,2.40938E-206,1.2730944718,0.1014922602
Market-Adjusted Model,-5,6194,9216,-0.009571692,0.0203143073,-0.007195693,0.0258531664,-0.014195587,-0.014377242,-17.06899503,2.447238E-64,-10.90875806,1.541955E-27,-8.241779544,1.928806E-16,-11.33406433,1.396188E-29,-39.74119684,0,1.1125497037,0.000011734,-35.95523625,4.75114E-265,0.9360662515,0.3492636103,-33.53640235,7.10586E-247,-1585.5,4.7689E-244,-8096866,1.97516E-233,-1.37112372,0.0851681959
Market-Adjusted Model,-4,5990,9214,-0.012975583,0.0086068534,-0.003403147,0.0258580371,-0.014197335,-0.014379243,-8.771032636,2.085563E-18,-15.02284306,2.051935E-50,-8.241007645,1.941255E-16,-14.63842899,5.511503E-48,-19.09184006,1.475932E-81,1.1141181789,2.344544E-17,-21.26702476,5.079538E-98,0.9372848874,0.3486366062,-29.43987021,8.4853E-191,-1382.5,3.74712E-185,-6727924.5,5.01354E-159,-0.81795907,0.2066902795
Market-Adjusted Model,-3,4917,9210,-0.018573985,-0.014213234,-0.005623234,0.0258885384,-0.014173644,-0.014357233,-15.68621062,9.577316E-55,-20.82285798,3.879289E-94,-8.224425234,2.227444E-16,-19.65385329,2.81579E-84,-13.88803615,3.742989E-44,1.1260487978,1.759643E-30,-14.70683349,2.059051E-48,0.9471381131,0.3435932602,-7.760697627,4.223174E-15,-311,9.546863E-11,-4027199,6.907774E-57,-0.487986704,0.3127796294
Market-Adjusted Model,-2,3323,9202,-0.015302833,-0.00461014,0.0032798601,0.0259074626,-0.014178527,-0.014362938,10.172917333,3.516231E-24,-16.89895163,4.078025E-63,-8.220133672,2.308268E-16,-15.78081543,2.237461E-55,12.036897647,1,1.1397856421,8.170779E-19,13.448524869,7.626171E-41,0.9583074602,0.3379329254,24.403163658,0,1278.5,1.75447E-158,5498586.5,6.33956E-106,0.557947485,0.2884401224
Market-Adjusted Model,-1,6573,9199,-0.025669885,0.0126829164,-0.010427084,0.0259766769,-0.014118129,-0.014305575,-30.22736063,1.92073E-191,-26.33194823,2.17987E-147,-8.188659051,2.993954E-16,-24.89942539,1.71994E-132,-44.44025763,0,1.1469578824,1.730282E-76,-45.69523137,0,0.9642096905,0.3349661584,-41.56722774,0,-1973,0,-10837404.5,0,-1.58156671,0.0568742594
Market-Adjusted Model,0,6805,9197,-0.038939055,-0.002867957,-0.013277957,0.0259905657,-0.014106829,-0.014294545,-34.44780483,1.08372E-244,-36.2844013,1.53329E-269,-8.180462469,3.203323E-16,-34.01691664,5.26735E-239,-45.39550536,0,1.1642881086,2.88849E-177,-45.79758507,0,0.9787425357,0.327732959,-46.31271547,0,-2206,0,-12449547,0,-1.543123496,0.0614004074
Market-Adjusted Model,1,4870,9184,-0.034484822,0.022245163,0.004335163,0.0260917023,-0.013952605,-0.014196885,11.013078572,4.94834E-28,-32.6146284,7.20498E-221,-8.114515659,5.504784E-16,-30.32638984,1.29553E-192,2.4061655973,0.9919395223,1.2567100081,5.51404E-170,2.1502913036,0.0315582098,1.0573922659,0.2903604175,-7.334820523,1.110094E-13,-277.5,7.3425348E-9,460034,0.0701700159,-0.09063987,0.4638893753
Market-Adjusted Model,2,1998,9183,-0.022959402,0.0050337114,0.0115237114,0.0260938516,-0.01394866,-0.014192979,20.892828045,9.736027E-95,-21.1604585,4.482124E-97,-8.111359388,5.648727E-16,-18.82352435,1.383862E-77,51.006123563,1,1.2635306078,2.086013E-62,21.109951547,1.243248E-96,1.063091076,0.2877686118,50.888663557,0,2594,0,12374187.5,0,1.7097800827,0.0436532737
Market-Adjusted Model,3,3119,9179,-0.019289938,-0.001240764,0.0040492357,0.0257647281,-0.014324504,-0.014518061,9.6479070408,6.374368E-22,-17.28829428,6.340303E-66,-8.542318227,1.525753E-17,-15.46454555,2.820192E-53,24.142500533,1,0.8635412864,2.910041E-32,15.157926907,2.797571E-51,0.7861629736,0.4317923136,28.073818698,0,1471,1.30967E-210,6279200.5,1.03262E-139,0.8043317907,0.2106026912
Market-Adjusted Model,4,6672,9175,-0.030994,0.01182115,-0.01148885,0.0255537623,-0.014537551,-0.014727402,-30.44246371,5.34532E-194,-25.52065205,7.51046E-139,-8.735256292,2.858356E-18,-23.55549011,3.61983E-119,-49.85937685,0,0.6195722931,2.71146E-116,-43.94684681,0,0.5793570094,0.5623625328,-44.06165078,0,-2084,0,-11605741.5,0,-1.755484584,0.0395882276
Market-Adjusted Model,5,3186,9169,-0.026501065,-0.002103641,0.0044863591,0.0255592038,-0.014520206,-0.014703595,13.332244595,3.552823E-40,-20.57364998,5.536456E-92,-8.719589493,3.279503E-18,-19.23788275,6.914237E-81,19.760291296,1,0.6536337396,3.7263E-77,22.948397766,2.29414E-113,0.6111964641,0.5410846789,26.512269317,0,1399,1.42362E-190,6615310,5.66827E-156,0.7062163057,0.2400268159
Market-Adjusted Model,6,2328,9165,-0.019155133,0.0039922171,0.0073522171,0.025549045,-0.014521261,-0.01470457,23.540528546,5.0923E-119,-14.52238505,2.921457E-47,-8.716702368,3.363713E-18,-13.55151137,1.943554E-41,35.779304571,1,0.6676130072,3.397648E-27,37.569259609,1.97989E-287,0.6241643037,0.532535226,43.831271547,0,2255,0,10103512,0,1.2501438418,0.1056235035
Market-Adjusted Model,7,3142,9165,-0.01323189,-0.020636111,0.0059238886,0.025549045,-0.014521261,-0.01470457,15.312706083,2.784224E-52,-10.08360212,8.686054E-24,-8.716702368,3.363713E-18,-9.229249436,3.333208E-20,39.310668438,1,0.6676130072,0.0154220426,29.265847773,4.53744E-180,0.6241643037,0.532535226,27.3234638,0,1441.5,1.60589E-202,6811300,6.69095E-166,1.2353671058,0.1083469546
Market-Adjusted Model,8,2857,9164,-0.006977037,-0.004009897,0.0061501033,0.0256261696,-0.014415981,-0.014628603,13.305334698,5.062486E-40,-4.645801343,3.4348269E-6,-8.669891642,5.062599E-18,-4.538138415,5.7476021E-6,26.463488499,1,0.6911304768,0.9998631992,19.98792122,4.940545E-87,0.6462727193,0.5181189395,33.082944636,0,1726,9.92881E-292,7662070.5,8.05373E-212,1.0041539931,0.1576521969
Market-Adjusted Model,9,5000,9161,-0.009124672,0.0095922855,-0.002147715,0.0256296406,-0.014418572,-0.014632033,-4.462297342,8.2054202E-6,-5.349444949,9.0353347E-8,-8.668622735,5.119126E-18,-5.606242764,2.1276336E-8,5.4194535724,0.9999999701,0.693639378,0.9999992989,3.3767358497,0.000736567,0.6485139553,0.5166688462,-10.43763942,8.345477E-26,-418.5,2.302549E-18,-1588853,3.279465E-10,-0.095125309,0.4621076478
Market-Adjusted Model,10,6039,9159,-0.014475822,0.003544366,-0.005295634,0.0256905894,-0.014475822,-0.014573074,-14.46588212,6.53621E-47,-9.165916542,5.976963E-20,-8.71453725,3.42844E-18,-8.71453725,3.42844E-18,-18.93298641,3.050195E-80,0.6815209204,0.7522290331,-19.49613381,5.61577E-83,0.6372858337,0.5239546094,-31.54897587,9.2601E-219,-1458.5,1.67349E-207,-7158197.5,3.3567E-184,-0.791914032,0.2142054024
